GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Orne Beans,dev.orne.beans.converters,EnumConvertUtilsBean,0,18,0,4,0,6,0,4,0,2
Orne Beans,dev.orne.beans.converters,IdentityConverter,0,50,0,8,0,15,0,9,0,5
Orne Beans,dev.orne.beans.converters,EnumConverter,0,127,0,14,0,33,0,17,0,10
Orne Beans,dev.orne.beans.converters,LocalTimeConverter,0,70,0,0,0,19,0,7,0,7
Orne Beans,dev.orne.beans.converters,MonthConverter,0,228,0,8,0,48,0,14,0,10
Orne Beans,dev.orne.beans.converters,MonthDayConverter,0,159,0,0,0,43,0,8,0,8
Orne Beans,dev.orne.beans.converters,OrneBeansConverters,0,676,0,16,0,142,0,28,0,20
Orne Beans,dev.orne.beans.converters,UriConverter,0,44,0,6,0,14,0,8,0,5
Orne Beans,dev.orne.beans.converters,PeriodConverter,0,42,0,6,0,13,0,8,0,5
Orne Beans,dev.orne.beans.converters,OffsetTimeConverter,0,84,0,0,0,22,0,7,0,7
Orne Beans,dev.orne.beans.converters,EnumConvertUtilsBean2,0,18,0,4,0,6,0,4,0,2
Orne Beans,dev.orne.beans.converters,LocaleConverter,0,53,0,8,0,16,0,9,0,5
Orne Beans,dev.orne.beans.converters,AbstractDateTimeConverter,0,237,0,24,0,60,0,25,0,13
Orne Beans,dev.orne.beans.converters,ZonedDateTimeConverter,0,79,0,0,0,22,0,7,0,7
Orne Beans,dev.orne.beans.converters,YearMonthConverter,0,159,0,0,0,39,0,8,0,8
Orne Beans,dev.orne.beans.converters,InstantConverter,0,79,0,0,0,23,0,8,0,8
Orne Beans,dev.orne.beans.converters,LocalDateConverter,0,82,0,0,0,19,0,7,0,7
Orne Beans,dev.orne.beans.converters,LocalDateTimeConverter,0,66,0,0,0,19,0,7,0,7
Orne Beans,dev.orne.beans.converters,ZoneOffsetConverter,0,73,0,0,0,24,0,8,0,8
Orne Beans,dev.orne.beans.converters,DayOfWeekConverter,0,196,0,8,0,48,0,14,0,10
Orne Beans,dev.orne.beans.converters,DurationConverter,0,64,0,10,0,19,0,10,0,5
Orne Beans,dev.orne.beans.converters,IdentityBeanConverter,0,217,0,16,0,61,0,22,0,14
Orne Beans,dev.orne.beans.converters,YearConverter,0,137,0,4,0,27,0,11,0,9
Orne Beans,dev.orne.beans.converters,EnumTypedConverter,0,154,0,8,0,35,0,17,0,13
Orne Beans,dev.orne.beans.converters,GregorianCalendarConverter,0,109,0,14,0,31,0,15,0,8
Orne Beans,dev.orne.beans.converters,DateConverter,0,89,0,10,0,26,0,13,0,8
Orne Beans,dev.orne.beans.converters,OffsetDateTimeConverter,0,79,0,0,0,22,0,7,0,7
Orne Beans,dev.orne.beans,Identity,0,5,0,0,0,1,0,1,0,1
Orne Beans,dev.orne.beans,BigIntegerIdentity,0,62,0,4,0,15,0,7,0,5
Orne Beans,dev.orne.beans,BeanValidationUtils,0,31,0,0,0,10,0,7,0,7
Orne Beans,dev.orne.beans,ValidBeanIdentity.ValidBeanIdentityValidator,0,65,0,16,0,19,0,11,0,3
Orne Beans,dev.orne.beans,IdentityResolver.UnresolvableIdentityException,0,23,0,0,0,10,0,5,0,5
Orne Beans,dev.orne.beans,IdentityResolver.WeakHashMapCache,0,26,0,0,0,7,0,4,0,4
Orne Beans,dev.orne.beans,JacksonSpiTypeIdResolver,0,347,1,35,0,74,1,33,0,16
Orne Beans,dev.orne.beans,ValidIdentity.ValidIdentityValidatorForString,0,45,0,4,0,17,0,7,0,5
Orne Beans,dev.orne.beans,LongIdentity,0,61,0,4,0,15,0,7,0,5
Orne Beans,dev.orne.beans,BeanAnnotationFinder.CacheEntryKey,0,77,0,6,0,24,0,9,0,6
Orne Beans,dev.orne.beans,TokenIdentity,0,70,0,10,0,22,0,11,0,6
Orne Beans,dev.orne.beans,ValidBeanReference.ValidBeanReferenceValidator,0,88,0,16,0,26,0,13,0,5
Orne Beans,dev.orne.beans,AbstractIdentity,0,59,0,8,0,18,0,11,0,7
Orne Beans,dev.orne.beans,IdentityTokenFormatter,20,238,0,24,5,56,5,19,5,7
Orne Beans,dev.orne.beans,AbstractComposedIdentity,0,140,0,14,0,35,0,18,0,11
Orne Beans,dev.orne.beans,IdentityResolver.InstanceHolder,0,5,0,0,0,1,0,1,0,1
Orne Beans,dev.orne.beans,BeanAnnotationFinder,0,251,0,24,0,63,0,27,0,15
Orne Beans,dev.orne.beans,UnrecognizedIdentityTokenException,0,16,0,0,0,8,0,4,0,4
Orne Beans,dev.orne.beans,TokenIdentity.IdentityXmlAdapter,0,37,0,8,0,13,0,7,0,3
Orne Beans,dev.orne.beans,BeanAnnotationFinder.WeakHashMapCache,0,26,0,0,0,7,0,4,0,4
Orne Beans,dev.orne.beans,BaseIdentityBean,0,71,0,6,0,23,0,10,0,7
Orne Beans,dev.orne.beans,IdentityResolver,17,332,1,29,2,70,1,24,0,10
Orne Beans,dev.orne.beans,StringIdentity,0,39,0,2,0,10,0,6,0,5
Orne Beans,dev.orne.beans,ValidIdentity.ValidIdentityValidator,0,45,0,4,0,17,0,7,0,5
Orne Beans,dev.orne.beans,AbstractSimpleIdentity,0,77,0,8,0,21,0,10,0,6
Orne Beans,dev.orne.beans.rnd,BaseIdentityBeanGenerator,0,34,0,6,0,9,0,7,0,4
Orne Beans,dev.orne.beans.rnd,TokenIdentityGenerator,0,64,0,8,0,14,0,8,0,4
